Seeded Runs:
Run 1/10
   	      	                       fitness                       	                          size                         
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std  	avg    	gen	max 	med  	min	nevals	std    
20 	679   	1963   	20 	36421.4	1458.99	1454.8 	679   	2353.44	1740.89	20 	2207	1751  	771 	679   	157.595
21 	679   	1920.61	21 	20610.3	1458.57	1453.94	679   	1989.04	1758.21	21 	2222	1757  	1228	679   	143.789
22 	672   	1957.55	22 	37273.3	1458.32	1453.94	672   	2598.77	1758.36	22 	2435	1760  	731 	672   	163.413
23 	677   	1728.58	23 	15045.4	1457.49	1451.08	677   	1202.9 	1762.55	23 	2449	1764  	1077	677   	161.999
24 	679   	1848.1 	24 	23078  	1456.92	1449.79	679   	1796.65	1743.94	24 	2447	1752.5	897 	679   	167.884
25 	679   	1863.45	25 	20392.2	1456.19	1449.77	679   	1908.07	1735.53	25 	2466	1751  	896 	679   	162.921
26 	665   	1934.92	26 	37276  	1455.67	1448.94	665   	2579.77	1739.46	26 	2466	1751.5	726 	665   	164.817
27 	679   	1881.12	27 	36417.1	1455.53	1446.98	679   	2304.52	1728.41	27 	2475	1745.5	727 	679   	165.932
28 	687   	1903.84	28 	39530.2	1455.14	1446.96	687   	2194.78	1739.23	28 	2475	1758  	97  	687   	163.632
29 	665   	1768   	29 	15437.2	1454.7 	1446.44	665   	1449.71	1749.13	29 	2199	1762  	1164	665   	142.737
30 	680   	1847.44	30 	15587.4	1454.24	1446.44	680   	1714.43	1758.03	30 	2208	1769  	664 	680   	148.735
31 	679   	1881.41	31 	22184.2	1453.38	1446.42	679   	1852.74	1764.68	31 	2168	1773  	1195	679   	135.894
32 	683   	2041.83	32 	24438.1	1452.43	1445.44	683   	2564.6 	1763.27	32 	2131	1772  	1045	683   	152.454
33 	679   	1901.67	33 	24492  	1451.11	1445.44	679   	2025.25	1770.75	33 	2249	1782.5	792 	679   	150.754
34 	669   	1902.01	34 	28027.8	1449.84	1444.48	669   	2188.2 	1787.45	34 	2249	1798  	902 	669   	144.142
35 	676   	1843.84	35 	19478.3	1449.02	1443.65	676   	1883.98	1791.47	35 	2223	1808  	758 	676   	146.468
36 	682   	1986.16	36 	36410.4	1447.56	1443.65	682   	2541.33	1802.35	36 	2224	1816  	1013	682   	138.467
37 	682   	1738.64	37 	20493.4	1446.98	1439.83	682   	1599.31	1818.54	37 	2241	1829  	794 	682   	151.89 
38 	680   	1773.79	38 	15710.8	1446.61	1439.83	680   	1558.68	1826.68	38 	2268	1840  	1069	680   	162.682
39 	674   	1977.42	39 	37265.7	1446.44	1439.8 	674   	2522.43	1828.8 	39 	2387	1841  	770 	674   	186.994
40 	682   	1835.58	40 	30063.2	1446.05	1407.34	682   	2052.34	1843.13	40 	2346	1856  	878 	682   	202.829
41 	680   	1890.93	41 	44987.5	1445.45	1407.34	680   	2424.38	1838.03	41 	2352	1872.5	11  	680   	239.223
42 	672   	1716.24	42 	15575.8	1445.3 	1407.29	672   	1383.75	1853.26	42 	2392	1891  	835 	672   	229.419
43 	664   	1816.63	43 	30063.3	1444.5 	1407.29	664   	1935.84	1864.53	43 	2393	1901.5	768 	664   	232.684
44 	667   	1817.16	44 	22468.7	1444.03	1406.75	667   	1879.28	1895.75	44 	2407	1924  	860 	667   	223.955
45 	686   	1704.92	45 	25687.7	1440.84	1398.74	686   	1564.14	1940.13	45 	2442	1949  	734 	686   	221.146
46 	680   	1767.21	46 	67999.6	1439.83	1394.96	680   	2808.62	1997.53	46 	2529	1975  	83  	680   	229.209
47 	674   	1957.01	47 	37259.9	1439.74	1394.85	674   	2692.94	2060.42	47 	2563	2062.5	935 	674   	228.776
48 	674   	1764.75	48 	37231.3	1415.18	1393.25	674   	2017.13	2133.94	48 	2484	2201.5	1289	674   	190.807
49 	684   	1631.92	49 	13434.4	1407.68	1391.36	684   	1217.62	2185.63	49 	2556	2242  	1205	684   	184.039
50 	682   	1878.92	50 	63272.1	1407.35	1391.36	682   	2919.57	2223.58	50 	2633	2253.5	266 	682   	166.15 
51 	684   	1733.35	51 	67675.4	1407.22	1391.29	684   	2805.18	2245.91	51 	2676	2268  	34  	684   	169.858
52 	682   	1795.91	52 	64308.6	1405.57	1390.56	682   	2796.02	2250.27	52 	2664	2274  	69  	682   	170.322
53 	685   	1669.28	53 	20565.9	1398.73	1388.09	685   	1476.24	2253.38	53 	2736	2280.5	921 	685   	171.23 
54 	675   	1695.89	54 	16133.8	1395.24	1388.09	675   	1495.09	2245.7 	54 	2651	2268  	1535	675   	153.053
55 	683   	1828.85	55 	37184.6	1394.28	1388.08	683   	2427.17	2257.62	55 	2625	2275  	1446	683   	166.904
56 	671   	1702.68	56 	15952.1	1393.26	1387.63	671   	1475.48	2280.41	56 	2758	2310  	1297	671   	185.034
57 	677   	1700.56	57 	35506.1	1392.51	1384.68	677   	1878.76	2307.81	57 	2758	2345  	1481	677   	202.929
58 	678   	1662.68	58 	32989.8	1391.37	1372.9 	678   	1853.84	2322.87	58 	2849	2355.5	1466	678   	211.205
59 	682   	1748.13	59 	37214.5	1391.11	1372.9 	682   	2072.76	2348.18	59 	2846	2376.5	1310	682   	232.321
60 	673   	1714.99	60 	18889.5	1390.42	1372.9 	673   	1544.07	2394.39	60 	2891	2415.5	1491	673   	236.945
61 	686   	1758.36	61 	50370.4	1389.06	1372.8 	686   	2402.9 	2463.45	61 	2994	2511.5	74  	686   	231.487
62 	680   	1681.59	62 	19130.2	1388.2 	1372.8 	680   	1634.48	2500.6 	62 	2993	2538.5	1558	680   	199.607
63 	672   	1679.88	63 	20749.5	1388.09	1372.74	672   	1659.7 	2513.87	63 	3041	2551  	1483	672   	191.84 
64 	671   	1632.14	64 	15424.6	1387.84	1372.53	671   	1435.35	2523.23	64 	3041	2547  	1755	671   	169.722
65 	673   	1655.17	65 	37756.1	1387.54	1370.8 	673   	1999.11	2496.47	65 	3043	2530  	1548	673   	191.228
66 	670   	1707.38	66 	20255  	1384.69	1370.77	670   	1736.4 	2458.76	66 	3047	2493.5	1347	670   	208.85 
67 	679   	1586.61	67 	14278.9	1377.27	1369.78	679   	1157.13	2400.22	67 	3111	2389  	1073	679   	208.168
68 	681   	1756.27	68 	20260.8	1374.35	1363.02	681   	1756.44	2363.65	68 	2846	2341.5	964 	681   	180.989
69 	684   	1768.02	69 	31693.9	1373.28	1363.02	684   	2174.07	2333.62	69 	2810	2323  	1012	684   	168.552
