"C:\Users\WhizKid2004\PycharmProjects\4P82 A2\venv\Scripts\python.exe" "C:\Users\WhizKid2004\PycharmProjects\4P82 A2\islandExperiment\seededRuns.py" 
Unseeded Runs:
Run 1/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max 	med	min	nevals	std    
Red: exp(((abs(x)+cos(((-0.8780130361161902)-x)))+((-0.06668718301105603)+exp(abs(exp(((-gt(exp(exp((-0.30307591678442214), 2), 2), (log(y)/(gt(x, x)/y))))*((exp(log(y), 2)/(0.7715665440127926/abs(x)))+lt((cos(((lt(exp((-0.6322327298086494), 2), lt(y, y))*log(abs(y)))/log(perlin_noise(((-0.6634538499709917)/x), log(y)))))+exp(log(x), 2)), log(perlin_noise(0.6791595824092189, y))))), 2)), 2))), 2) Green: sin(gt((gt(abs(cos(abs(gt(0.6532856780988519, x)))), (gt(perlin_noise(((exp((sin(lt((-0.21724901530865082), sin((-0.08186176379119625))))+log((sin(x)+((-0.3520384352611754)*x)))), 2)+((log((-lt(perlin_noise(gt(exp(exp((-0.30307591678442214), 2), 2), (log(y)/(gt(x, x)/y))), abs((cos(gt(abs((-0.10895402767675266)), sin(sin((exp((y+(0.0007285790530975333-(-0.8671750706319872))), 2)/perlin_noise(sin(log(y)), sin(abs((-0.7213124027513129)))))))))+perlin_noise(tan(y), sin(y))))), exp(gt((log((cos(perlin_noise((-0.4740163044735406), y))*((x+y)+lt((-0.10968354016246562), y))))/(tan(((x/0.8079569995956952)-(-y)))/((log(y)-(y-0.14933272188523006))*sin(perlin_noise(y, y))))), log((-0.5290648592534635))), 2))))/((-0.8484784798433689)/y))*tan(tan((-0.2523006559804486)))))/abs((lt(((exp(exp(sin(gt((-0.3589194092013759), (-0.5761946495072057))), 2), 2)/lt((abs(y)/log(y)), gt((log((-0.4515527060140707))+exp(x, 2)), perlin_noise((-(-0.897420141768509)), (x*y)))))*exp((-exp(exp(exp(y, 2), 2), 2)), 2)), (lt((-((cos(x)*gt(x, x))+abs(abs(y)))), tan(((tan(y)*lt(y, x))+(sin(y)-perlin_noise((-0.42733839622925074), x)))))*sin(((-gt((x/x), (y+(-0.38760734559531107))))+sin(perlin_noise((abs(log(sin(gt(lt((-0.030216231419457618), y), lt((-0.029686717478900837), y)))))-x), sin((-0.4621406741135028))))))))*exp(abs(0.4360436850072118), 2)))), perlin_noise(x, log(y))), abs(cos(x)))+sin(gt(x, tan(exp(abs(abs(exp(cos((tan(sin(sin(abs(x))))/sin(cos(lt(cos((gt(tan(0.5803519874396799), gt(y, y))-(perlin_noise(y, x)*lt(0.5252081569372653, y)))), (cos(abs(perlin_noise(y, (-0.5090361432210471))))*(tan(((-0.2494378021009509)+x))/sin((-x))))))))), 2))), 2))))))/tan(tan(0.9255661040125731))), (perlin_noise(x, cos(cos((log(lt(y, 0.9399178300680988))*gt(cos(0.5948347067754522), perlin_noise((-0.6660639568990854), x))))))+tan((x*0.3330238904471583))))) Blue: sin(gt((gt(abs(cos(y)), (gt(perlin_noise((log(((sin(0.6303566009994026)-x)*(x/exp(y, 2))))/cos(log(lt(x, x)))), perlin_noise(((log(0.6791595824092189)*lt(0.150036893448805, lt(0.5639173189044833, y)))+(exp(y, 2)*(-y))), abs(tan(abs((y/(-0.18734994709921748))))))), abs(gt(0.6532856780988519, (perlin_noise(y, 0.9985765560106818)*(x*y)))))+(x+0.6791595824092189)))/tan(tan(0.9255661040125731))), (perlin_noise(x, (y*y))+perlin_noise(log(((-0.333350835467213)+0.19912350523628697)), sin(gt(gt((((((0.9428379535086839+y)+exp(x, 2))-(abs(x)/log(y)))*((tan(0.8460804903212595)+(y-tan(perlin_noise((tan(((((0.8066408103301466+0.12951912278905953)*lt(y, x))*tan(perlin_noise(x, x)))*abs((-cos(x)))))-(abs(((-(0.3590722220032805*0.24209963553290592))+exp(log(y), 2)))*sin(cos(gt(sin(0.32843794554132333), perlin_noise((-0.7992370680936682), (-0.11354309446134248))))))), exp((sin(log(abs(gt(x, y))))-abs(lt((gt(x, y)*exp(0.5753053072839043, 2)), abs((y*0.4196354301328431))))), 2)))))*x))-(tan(log(gt((-0.2336816743691923), 0.7715665440127926)))+cos(x))), (((y*cos((-sin((tan(x)-exp(y, 2))))))-(-exp(((-0.7754890442201772)+y), 2)))-(perlin_noise(gt(sin((-0.4959512441214391)), (y/0.8723929916998103)), (lt(0.7643098209726547, (-0.5302444351345739))-gt(y, x)))/(exp(((-0.6036490337868563)-y), 2)*abs(log((-0.5315432196680658))))))), gt(cos((-(lt(perlin_noise(0.4356839076634227, y), abs(x))*lt(cos(0.5912340409813559), perlin_noise(0.7646459330267934, x))))), (-gt(gt((sin((gt((x+x), (-x))*(-0.9779685608311248)))/perlin_noise(y, (-0.7603010119843212))), abs((y/y))), ((lt(lt(sin(log(lt(sin(tan(abs(0.5661187268955437))), (perlin_noise(perlin_noise(x, y), ((-0.31600191271475486)+y))+(tan(x)/abs((x/x))))))), ((gt((tan((-x))/log((y/x))), ((cos((-0.005278443205078309))/exp(0.04941672339962433, 2))*((0.7706557985218581+x)*abs(y))))-perlin_noise(tan(y), sin(y)))/(perlin_noise(cos(cos(gt(x, x))), log(gt((y/(-0.6067976298325843)), exp(x, 2))))*(perlin_noise(cos((-y)), exp(perlin_noise(0.2887074096920901, x), 2))+cos(((y*x)*cos(y))))))), (-0.3288590126712203))/perlin_noise(y, 0.16679007003148172))+(cos((-0.45298182321568503))+abs(0.9367803097936502))))))))))))
toColour(exp(((abs(x)+cos(((-0.8780130361161902)-x)))+((-0.06668718301105603)+exp(abs(exp(((-gt(exp(exp((-0.30307591678442214), 2), 2), (log(y)/(gt(x, x)/y))))*((exp(log(y), 2)/(0.7715665440127926/abs(x)))+lt((cos(((lt(exp((-0.6322327298086494), 2), lt(y, y))*log(abs(y)))/log(perlin_noise(((-0.6634538499709917)/x), log(y)))))+exp(log(x), 2)), log(perlin_noise(0.6791595824092189, y))))), 2)), 2))), 2), sin(gt((gt(abs(cos(abs(gt(0.6532856780988519, x)))), (gt(perlin_noise(((exp((sin(lt((-0.21724901530865082), sin((-0.08186176379119625))))+log((sin(x)+((-0.3520384352611754)*x)))), 2)+((log((-lt(perlin_noise(gt(exp(exp((-0.30307591678442214), 2), 2), (log(y)/(gt(x, x)/y))), abs((cos(gt(abs((-0.10895402767675266)), sin(sin((exp((y+(0.0007285790530975333-(-0.8671750706319872))), 2)/perlin_noise(sin(log(y)), sin(abs((-0.7213124027513129)))))))))+perlin_noise(tan(y), sin(y))))), exp(gt((log((cos(perlin_noise((-0.4740163044735406), y))*((x+y)+lt((-0.10968354016246562), y))))/(tan(((x/0.8079569995956952)-(-y)))/((log(y)-(y-0.14933272188523006))*sin(perlin_noise(y, y))))), log((-0.5290648592534635))), 2))))/((-0.8484784798433689)/y))*tan(tan((-0.2523006559804486)))))/abs((lt(((exp(exp(sin(gt((-0.3589194092013759), (-0.5761946495072057))), 2), 2)/lt((abs(y)/log(y)), gt((log((-0.4515527060140707))+exp(x, 2)), perlin_noise((-(-0.897420141768509)), (x*y)))))*exp((-exp(exp(exp(y, 2), 2), 2)), 2)), (lt((-((cos(x)*gt(x, x))+abs(abs(y)))), tan(((tan(y)*lt(y, x))+(sin(y)-perlin_noise((-0.42733839622925074), x)))))*sin(((-gt((x/x), (y+(-0.38760734559531107))))+sin(perlin_noise((abs(log(sin(gt(lt((-0.030216231419457618), y), lt((-0.029686717478900837), y)))))-x), sin((-0.4621406741135028))))))))*exp(abs(0.4360436850072118), 2)))), perlin_noise(x, log(y))), abs(cos(x)))+sin(gt(x, tan(exp(abs(abs(exp(cos((tan(sin(sin(abs(x))))/sin(cos(lt(cos((gt(tan(0.5803519874396799), gt(y, y))-(perlin_noise(y, x)*lt(0.5252081569372653, y)))), (cos(abs(perlin_noise(y, (-0.5090361432210471))))*(tan(((-0.2494378021009509)+x))/sin((-x))))))))), 2))), 2))))))/tan(tan(0.9255661040125731))), (perlin_noise(x, cos(cos((log(lt(y, 0.9399178300680988))*gt(cos(0.5948347067754522), perlin_noise((-0.6660639568990854), x))))))+tan((x*0.3330238904471583))))), sin(gt((gt(abs(cos(y)), (gt(perlin_noise((log(((sin(0.6303566009994026)-x)*(x/exp(y, 2))))/cos(log(lt(x, x)))), perlin_noise(((log(0.6791595824092189)*lt(0.150036893448805, lt(0.5639173189044833, y)))+(exp(y, 2)*(-y))), abs(tan(abs((y/(-0.18734994709921748))))))), abs(gt(0.6532856780988519, (perlin_noise(y, 0.9985765560106818)*(x*y)))))+(x+0.6791595824092189)))/tan(tan(0.9255661040125731))), (perlin_noise(x, (y*y))+perlin_noise(log(((-0.333350835467213)+0.19912350523628697)), sin(gt(gt((((((0.9428379535086839+y)+exp(x, 2))-(abs(x)/log(y)))*((tan(0.8460804903212595)+(y-tan(perlin_noise((tan(((((0.8066408103301466+0.12951912278905953)*lt(y, x))*tan(perlin_noise(x, x)))*abs((-cos(x)))))-(abs(((-(0.3590722220032805*0.24209963553290592))+exp(log(y), 2)))*sin(cos(gt(sin(0.32843794554132333), perlin_noise((-0.7992370680936682), (-0.11354309446134248))))))), exp((sin(log(abs(gt(x, y))))-abs(lt((gt(x, y)*exp(0.5753053072839043, 2)), abs((y*0.4196354301328431))))), 2)))))*x))-(tan(log(gt((-0.2336816743691923), 0.7715665440127926)))+cos(x))), (((y*cos((-sin((tan(x)-exp(y, 2))))))-(-exp(((-0.7754890442201772)+y), 2)))-(perlin_noise(gt(sin((-0.4959512441214391)), (y/0.8723929916998103)), (lt(0.7643098209726547, (-0.5302444351345739))-gt(y, x)))/(exp(((-0.6036490337868563)-y), 2)*abs(log((-0.5315432196680658))))))), gt(cos((-(lt(perlin_noise(0.4356839076634227, y), abs(x))*lt(cos(0.5912340409813559), perlin_noise(0.7646459330267934, x))))), (-gt(gt((sin((gt((x+x), (-x))*(-0.9779685608311248)))/perlin_noise(y, (-0.7603010119843212))), abs((y/y))), ((lt(lt(sin(log(lt(sin(tan(abs(0.5661187268955437))), (perlin_noise(perlin_noise(x, y), ((-0.31600191271475486)+y))+(tan(x)/abs((x/x))))))), ((gt((tan((-x))/log((y/x))), ((cos((-0.005278443205078309))/exp(0.04941672339962433, 2))*((0.7706557985218581+x)*abs(y))))-perlin_noise(tan(y), sin(y)))/(perlin_noise(cos(cos(gt(x, x))), log(gt((y/(-0.6067976298325843)), exp(x, 2))))*(perlin_noise(cos((-y)), exp(perlin_noise(0.2887074096920901, x), 2))+cos(((y*x)*cos(y))))))), (-0.3288590126712203))/perlin_noise(y, 0.16679007003148172))+(cos((-0.45298182321568503))+abs(0.9367803097936502)))))))))))))
2102.8520278930664
Run 2/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std    
0  	700   	51242.2	0  	89080.3	51283.9	14546.8	700   	13862.7	202.384	0  	929	140	21 	700   	178.595
1  	676   	43631.6	1  	79263.7	43264.6	14546.8	676   	11522.7	217.304	1  	881	154	18 	676   	179.953
2  	681   	37548.6	2  	70460.3	36881.9	13719.3	681   	9873.4 	219.02 	2  	882	161	18 	681   	171.501
